# Chaines d'autorisation, 45 routes, depot takibo-iam au commit 032788fb6d
# produit par poc.spring-authorization-chain 0.0.1 ; une ligne par route :
# route | regle gagnante (fichier:ligne) | verdict

DELETE /api/v1/orgs/{orgCode}/spaces/{spaceCode}/users/{userId}/groups/{groupCode} | SecurityConfig.java:85 | PROTEGE par PolicyBasedAuthorizationManager -> appelle AdaptiveDecisionPort, CurrentTakiboSecurityContextProvider, PolicyEvaluator, RequestVelocityTracker
DELETE /api/v1/orgs/{orgCode}/spaces/{spaceCode}/users/{userId}/roles/{roleCode} | SecurityConfig.java:85 | PROTEGE par PolicyBasedAuthorizationManager -> appelle AdaptiveDecisionPort, CurrentTakiboSecurityContextProvider, PolicyEvaluator, RequestVelocityTracker
DELETE /debug/secure/users/{id}                                                | SecurityConfig.java:86 | PROTEGE par PolicyBasedAuthorizationManager -> appelle AdaptiveDecisionPort, CurrentTakiboSecurityContextProvider, PolicyEvaluator, RequestVelocityTracker
GET /api/admin/users                                                           |                        | NON CONCLU (ANALYSED/NOT_INTERPRETED)
GET /api/dashboard                                                             |                        | NON CONCLU (ANALYSED/NOT_INTERPRETED)
GET /api/data/sensitive                                                        |                        | NON CONCLU (ANALYSED/NOT_INTERPRETED)
GET /api/health                                                                | TestSecurityConfig.java:47 | PUBLIC (route-pattern:/api/health)
GET /api/profile                                                               |                        | NON CONCLU (ANALYSED/NOT_INTERPRETED)
GET /api/public/info                                                           |                        | NON CONCLU (ANALYSED/NOT_INTERPRETED)
GET /api/v1/me/spaces                                                          | SecurityConfig.java:85 | PROTEGE par PolicyBasedAuthorizationManager -> appelle AdaptiveDecisionPort, CurrentTakiboSecurityContextProvider, PolicyEvaluator, RequestVelocityTracker
GET /api/v1/orgs/{orgCode}/spaces/{spaceCode}/groups                           | SecurityConfig.java:85 | PROTEGE par PolicyBasedAuthorizationManager -> appelle AdaptiveDecisionPort, CurrentTakiboSecurityContextProvider, PolicyEvaluator, RequestVelocityTracker
GET /api/v1/orgs/{orgCode}/spaces/{spaceCode}/groups/{groupCode}               | SecurityConfig.java:85 | PROTEGE par PolicyBasedAuthorizationManager -> appelle AdaptiveDecisionPort, CurrentTakiboSecurityContextProvider, PolicyEvaluator, RequestVelocityTracker
GET /api/v1/orgs/{orgCode}/spaces/{spaceCode}/permissions                      | SecurityConfig.java:85 | PROTEGE par PolicyBasedAuthorizationManager -> appelle AdaptiveDecisionPort, CurrentTakiboSecurityContextProvider, PolicyEvaluator, RequestVelocityTracker
GET /api/v1/orgs/{orgCode}/spaces/{spaceCode}/permissions/{permissionCode}     | SecurityConfig.java:85 | PROTEGE par PolicyBasedAuthorizationManager -> appelle AdaptiveDecisionPort, CurrentTakiboSecurityContextProvider, PolicyEvaluator, RequestVelocityTracker
GET /api/v1/orgs/{orgCode}/spaces/{spaceCode}/roles                            | SecurityConfig.java:85 | PROTEGE par PolicyBasedAuthorizationManager -> appelle AdaptiveDecisionPort, CurrentTakiboSecurityContextProvider, PolicyEvaluator, RequestVelocityTracker
GET /api/v1/orgs/{orgCode}/spaces/{spaceCode}/roles/{roleCode}                 | SecurityConfig.java:85 | PROTEGE par PolicyBasedAuthorizationManager -> appelle AdaptiveDecisionPort, CurrentTakiboSecurityContextProvider, PolicyEvaluator, RequestVelocityTracker
GET /api/v1/orgs/{orgCode}/spaces/{spaceCode}/users                            | SecurityConfig.java:85 | PROTEGE par PolicyBasedAuthorizationManager -> appelle AdaptiveDecisionPort, CurrentTakiboSecurityContextProvider, PolicyEvaluator, RequestVelocityTracker
GET /api/v1/orgs/{orgCode}/spaces/{spaceCode}/users/{userId}                   | SecurityConfig.java:85 | PROTEGE par PolicyBasedAuthorizationManager -> appelle AdaptiveDecisionPort, CurrentTakiboSecurityContextProvider, PolicyEvaluator, RequestVelocityTracker
GET /api/v1/orgs/{orgCode}/spaces/{spaceCode}/users/{userId}/groups            | SecurityConfig.java:85 | PROTEGE par PolicyBasedAuthorizationManager -> appelle AdaptiveDecisionPort, CurrentTakiboSecurityContextProvider, PolicyEvaluator, RequestVelocityTracker
GET /api/v1/orgs/{orgCode}/spaces/{spaceCode}/users/{userId}/roles             | SecurityConfig.java:85 | PROTEGE par PolicyBasedAuthorizationManager -> appelle AdaptiveDecisionPort, CurrentTakiboSecurityContextProvider, PolicyEvaluator, RequestVelocityTracker
GET /api/v1/orgs/{orgId}/dashboard/summary                                     | SecurityConfig.java:85 | PROTEGE par PolicyBasedAuthorizationManager -> appelle AdaptiveDecisionPort, CurrentTakiboSecurityContextProvider, PolicyEvaluator, RequestVelocityTracker
GET /api/v1/orgs/{orgId}/spaces                                                | SecurityConfig.java:85 | PROTEGE par PolicyBasedAuthorizationManager -> appelle AdaptiveDecisionPort, CurrentTakiboSecurityContextProvider, PolicyEvaluator, RequestVelocityTracker
GET /api/v1/orgs/{orgId}/spaces/{spaceId}                                      | SecurityConfig.java:85 | PROTEGE par PolicyBasedAuthorizationManager -> appelle AdaptiveDecisionPort, CurrentTakiboSecurityContextProvider, PolicyEvaluator, RequestVelocityTracker
GET /debug/secure/context                                                      | SecurityConfig.java:86 | PROTEGE par PolicyBasedAuthorizationManager -> appelle AdaptiveDecisionPort, CurrentTakiboSecurityContextProvider, PolicyEvaluator, RequestVelocityTracker
GET /debug/secure/deny                                                         | SecurityConfig.java:86 | PROTEGE par PolicyBasedAuthorizationManager -> appelle AdaptiveDecisionPort, CurrentTakiboSecurityContextProvider, PolicyEvaluator, RequestVelocityTracker
GET /debug/secure/hello                                                        | SecurityConfig.java:86 | PROTEGE par PolicyBasedAuthorizationManager -> appelle AdaptiveDecisionPort, CurrentTakiboSecurityContextProvider, PolicyEvaluator, RequestVelocityTracker
GET /debug/secure/hello-org-admin                                              | SecurityConfig.java:86 | PROTEGE par PolicyBasedAuthorizationManager -> appelle AdaptiveDecisionPort, CurrentTakiboSecurityContextProvider, PolicyEvaluator, RequestVelocityTracker
GET /debug/secure/org-admin                                                    | SecurityConfig.java:86 | PROTEGE par PolicyBasedAuthorizationManager -> appelle AdaptiveDecisionPort, CurrentTakiboSecurityContextProvider, PolicyEvaluator, RequestVelocityTracker
GET /debug/secure/secret                                                       | SecurityConfig.java:86 | PROTEGE par PolicyBasedAuthorizationManager -> appelle AdaptiveDecisionPort, CurrentTakiboSecurityContextProvider, PolicyEvaluator, RequestVelocityTracker
GET /debug/secure/user-read                                                    | SecurityConfig.java:86 | PROTEGE par PolicyBasedAuthorizationManager -> appelle AdaptiveDecisionPort, CurrentTakiboSecurityContextProvider, PolicyEvaluator, RequestVelocityTracker
PATCH /api/v1/orgs/{orgCode}/spaces/{spaceCode}/users/{userId}                 | SecurityConfig.java:85 | PROTEGE par PolicyBasedAuthorizationManager -> appelle AdaptiveDecisionPort, CurrentTakiboSecurityContextProvider, PolicyEvaluator, RequestVelocityTracker
POST /api/admin/users                                                          |                        | NON CONCLU (ANALYSED/NOT_INTERPRETED)
